ANGELEGT_AM,bike_theft_count
2023-02-16,1
2023-01-13,1
2023-01-17,1
2023-01-19,1
2023-01-22,1
2023-02-02,1
2023-02-13,2
2023-02-19,1
2023-01-13,1
2023-01-27,1
2023-01-30,1
2023-01-24,2
2023-02-13,1
2023-02-14,1
2023-02-15,1
2023-01-27,1
2023-02-02,1
2023-02-14,1
2023-02-15,1
2023-02-16,1
2023-01-18,1
2023-01-20,1
2023-01-23,1
2023-01-28,1
2023-02-02,1
2023-02-13,2
2023-02-16,1
2023-01-19,2
2023-01-21,1
2023-01-27,1
2023-01-31,2
2023-02-01,2
2023-02-02,1
2023-02-14,1
2023-02-15,1
2023-02-18,1
2023-02-19,1
2023-01-18,1
2023-01-19,1
2023-01-29,2
2023-01-30,1
2023-02-16,1
2023-02-16,2
2023-01-15,1
2023-02-01,1
2023-02-16,1
2023-01-29,1
2023-01-21,1
2023-01-23,2
2023-01-27,1
2023-02-02,1
2023-02-15,1
2023-01-18,1
2023-01-26,1
2023-01-28,1
2023-02-16,1
2023-01-01,1
2023-01-26,1
2023-01-31,1
2023-01-13,1
2023-02-02,1
2023-01-02,1
2023-02-01,1
2023-02-19,1
2023-01-15,1
2023-01-18,1
2023-01-19,3
2023-01-21,1
2023-01-24,2
2023-02-13,1
2023-02-14,1
2023-01-17,1
2023-01-23,1
2023-02-02,1
2023-02-19,1
2023-01-23,1
2023-01-24,2
2023-02-16,1
2023-01-14,1
2023-01-30,1
2023-02-13,1
2023-01-13,2
2023-01-14,1
2023-01-18,1
2023-02-15,1
2023-01-14,1
2023-01-16,1
2023-01-13,1
2023-01-14,1
2023-01-16,1
2023-01-19,1
2023-02-13,1
2023-01-15,1
2023-01-20,1
2023-01-23,1
2023-01-29,1
2023-02-01,1
2023-01-15,1
2023-01-17,1
2023-01-18,1
2023-01-19,2
2023-01-23,2
2023-01-24,1
2023-01-19,1
2023-01-21,1
2023-01-24,1
2023-02-02,1
2023-02-13,1
2023-01-26,1
2023-01-30,1
2023-01-20,1
2023-01-22,1
2023-01-14,1
2023-01-19,1
2023-01-20,1
2023-01-22,1
2023-01-31,1
2023-02-18,1
2023-01-16,1
2023-01-21,1
2023-01-22,1
2023-01-23,2
2023-01-25,1
2023-02-19,1
2023-01-14,2
2023-01-18,2
2023-01-22,1
2023-01-24,1
2023-01-30,1
2023-02-13,2
2023-02-14,1
2023-02-15,2
2023-02-16,1
2023-01-13,1
2023-01-16,1
2023-01-18,1
2023-01-25,2
2023-02-02,2
2023-02-14,1
2023-02-18,1
2023-01-29,1
2023-02-02,1
2023-02-14,2
2023-01-14,1
2023-01-16,1
2023-01-19,1
2023-01-20,1
2023-01-21,2
2023-01-24,1
2023-01-25,1
2023-01-26,1
2023-02-13,1
2023-02-15,1
2023-02-19,1
2023-01-21,1
2023-01-26,1
2023-01-30,1
2023-02-14,1
2023-02-19,1
2023-01-21,1
2023-01-24,1
2023-01-15,1
2023-01-22,1
2023-01-24,1
2023-01-25,1
2023-01-26,2
2023-01-30,1
2023-02-19,1
2023-01-20,1
2023-01-23,1
2023-01-23,1
2023-01-02,1
2023-02-15,1
2023-02-16,1
2023-01-13,1
2023-01-30,1
2023-02-02,1
2023-02-14,1
2023-02-02,1
2023-01-17,1
2023-02-16,1
2023-02-19,1
2023-01-24,1
2023-01-25,1
2023-02-13,1
2023-02-15,1
2023-02-16,1
2023-02-17,1
2023-01-16,1
2023-01-23,1
2023-01-29,1
2023-02-15,1
2023-01-27,1
2023-02-13,1
2023-02-19,1
2023-01-18,1
2023-01-19,1
2023-01-24,1
2023-02-01,1
2023-02-02,1
2023-01-15,1
2023-01-20,1
2023-01-24,1
2023-01-25,1
2023-01-27,1
2023-02-13,1
2023-02-01,1
2023-01-21,1
2023-02-14,1
2023-01-16,2
2023-01-19,1
2023-02-16,1
2023-02-01,1
2023-02-17,1
2023-01-20,1
2023-01-18,1
2023-02-14,1
2023-01-01,1
2023-01-15,1
2023-01-19,1
2023-01-21,2
2023-02-02,1
2023-01-14,1
2023-01-21,1
2023-01-23,1
2023-02-01,1
2023-02-13,1
2023-02-13,1
2023-01-25,1
2023-01-27,2
2023-01-28,1
2023-01-31,1
2023-01-02,1
2023-02-02,1
2023-02-19,1
2023-01-26,1
2023-01-27,1
2023-01-01,1
2023-02-01,1
2023-02-17,2
2023-01-01,1
2023-01-13,1
2023-01-21,1
2023-01-15,1
2023-01-16,1
2023-01-18,1
2023-01-22,1
2023-01-23,2
2023-01-25,1
2023-01-26,1
2023-01-29,1
2023-01-30,1
2023-02-01,1
2023-02-17,2
2023-02-18,1
2023-01-02,1
2023-01-15,2
2023-01-18,2
2023-02-01,1
2023-01-01,1
2023-01-20,1
2023-01-23,1
2023-01-29,1
2023-01-16,1
2023-01-14,1
2023-01-17,1
2023-02-16,1
2023-01-15,1
2023-01-27,3
2023-01-28,2
2023-02-16,2
2023-02-17,1
2023-02-18,1
2023-01-20,1
2023-01-19,1
2023-01-18,1
2023-02-14,1
2023-01-19,1
2023-01-21,1
2023-01-23,1
2023-01-26,1
2023-02-01,1
2023-01-14,1
2023-01-27,1
2023-01-01,1
2023-01-24,1
2023-01-26,1
2023-01-02,1
2023-01-15,2
2023-01-02,1
2023-02-01,1
2023-02-18,1
2023-01-24,1
2023-01-29,1
2023-01-30,1
2023-01-31,1
2023-02-01,1
2023-02-17,1
2023-01-22,1
2023-02-17,1
2023-01-01,1
2023-01-13,1
2023-01-18,2
2023-01-18,2
2023-01-02,1
2023-01-31,1
2023-02-18,1
2023-01-18,1
2023-02-14,1
2023-02-15,1
2023-02-17,1
2023-01-19,1
2023-01-22,1
2023-01-24,1
2023-01-26,1
2023-02-13,1
2023-02-18,1
2023-01-17,1
2023-01-27,1
2023-01-18,1
2023-01-24,1
2023-01-26,1
2023-02-15,1
2023-02-16,1
2023-01-29,1
2023-02-02,1
2023-01-29,1
2023-01-17,1
2023-01-14,1
2023-01-16,1
2023-02-01,2
2023-01-28,1
2023-02-13,1
2023-01-20,1
2023-01-26,1
2023-01-22,1
2023-01-21,1
2023-01-02,1
2023-01-28,1
2023-01-21,2
2023-01-31,1
2023-01-16,1
2023-01-24,2
2023-01-30,1
2023-01-23,1
2023-01-27,1
2023-01-23,1
2023-02-14,1
2023-01-13,1
2023-01-22,2
2023-01-23,1
2023-02-19,1
2023-01-27,1
2023-02-19,1
2023-01-20,1
2023-01-27,1
2023-02-17,1
2023-01-13,1
2023-01-19,1
2023-01-20,1
2023-01-13,1
2023-01-20,1
2023-01-21,1
2023-01-24,1
2023-02-02,1
2023-02-19,1
2023-01-31,1
2023-01-26,1
2023-02-18,1
2023-02-16,1
2023-01-23,1
2023-01-13,1
2023-01-16,2
2023-01-26,1
2023-02-02,1
2023-01-23,1
2023-01-26,1
2023-01-28,1
2023-02-02,1
2023-01-26,1
2023-01-15,1
2023-02-15,1
2023-02-19,1
2023-01-28,1
2023-01-01,1
2023-01-18,1
2023-01-20,1
2023-01-25,1
2023-02-16,1
2023-01-14,1
2023-02-01,1
2023-01-16,1
2023-01-02,1
2023-01-22,1
2023-01-18,1
2023-01-20,1
2023-01-25,1
2023-01-28,2
2023-02-13,1
2023-01-14,1
2023-01-19,1
2023-01-16,1
2023-01-23,1
2023-01-30,1
2023-02-13,1
2023-02-15,1
2023-01-28,1
2023-02-13,1
2023-02-14,1
2023-02-15,1
2023-02-16,1
2023-01-15,1
2023-01-29,1
2023-01-14,1
2023-01-16,1
2023-01-23,1
2023-02-16,1
2023-02-19,1
2023-01-14,1
2023-01-18,1
2023-01-23,1
2023-01-26,1
2023-02-16,1
2023-01-18,1
2023-01-19,1
2023-01-24,1
2023-01-28,1
2023-01-30,2
2023-02-02,1
2023-02-17,1
2023-01-15,1
2023-01-17,3
2023-01-19,1
2023-02-02,1
2023-02-14,1
2023-01-17,1
2023-01-20,1
2023-02-15,1
2023-02-16,1
2023-01-15,1
2023-01-16,1
2023-01-21,1
2023-01-22,1
2023-01-25,1
2023-01-27,1
2023-01-30,2
2023-02-01,1
2023-02-02,2
2023-02-16,2
2023-02-17,2
2023-02-18,1
2023-01-28,1
2023-01-31,2
2023-02-18,1
2023-01-02,1
2023-01-15,2
2023-01-18,1
2023-01-19,1
2023-01-24,2
2023-01-26,1
2023-01-29,1
2023-02-02,1
2023-01-23,1
2023-01-24,1
2023-02-01,1
2023-01-25,1
2023-02-01,1
2023-02-16,1
2023-02-18,1
2023-01-16,2
2023-01-21,1
2023-01-23,1
2023-01-24,1
2023-02-17,1
2023-01-19,1
2023-02-17,1
2023-01-14,1
2023-01-16,1
2023-01-13,1
2023-01-18,1
2023-01-22,1
2023-01-23,1
2023-02-15,1
2023-01-24,1
2023-01-31,1
2023-01-25,1
2023-02-02,1
2023-02-13,1
2023-01-27,1
2023-01-28,1
2023-02-01,1
2023-01-15,1
2023-02-13,1
2023-01-31,1
2023-02-18,1
2023-02-19,1
2023-01-17,1
2023-01-21,1
2023-01-28,2
2023-01-29,1
2023-01-30,1
2023-02-02,1
2023-02-13,1
2023-02-18,2
2023-02-01,1
2023-01-21,1
2023-01-23,1
2023-01-25,1
2023-01-24,1
2023-01-26,1
2023-01-27,1
2023-01-30,1
2023-01-25,1
2023-01-30,1
2023-01-31,1
2023-01-15,1
2023-01-16,1
2023-01-23,1
2023-01-30,1
2023-01-18,1
2023-01-29,1
2023-01-18,1
2023-01-19,1
2023-01-22,1
2023-01-25,1
2023-02-16,2
2023-02-17,1
2023-02-18,1
2023-02-19,1
2023-01-13,1
2023-01-01,1
2023-02-01,1
2023-01-31,1
2023-01-14,1
2023-01-15,1
2023-01-19,1
2023-01-20,1
2023-01-23,1
2023-01-26,1
2023-01-27,1
2023-02-01,1
2023-02-14,1
2023-02-15,1
2023-01-16,2
2023-01-18,2
2023-01-19,1
2023-01-20,1
2023-02-02,1
2023-02-13,1
2023-01-18,1
2023-02-01,1
2023-01-02,2
2023-01-23,1
2023-01-27,1
2023-01-16,1
2023-01-24,2
2023-01-28,1
2023-01-30,1
2023-01-23,1
2023-01-30,1
2023-02-13,1
2023-02-14,1
2023-01-26,1
2023-02-16,1
2023-01-02,1
2023-01-14,1
2023-01-15,3
2023-01-18,1
2023-01-19,1
2023-01-25,1
2023-01-27,3
2023-01-28,1
2023-01-29,1
2023-02-02,2
2023-02-16,1
2023-01-16,1
2023-01-23,1
2023-01-26,1
2023-02-02,1
2023-02-15,1
2023-02-16,1
2023-01-14,1
2023-01-18,1
2023-01-27,2
2023-01-30,1
2023-01-31,1
2023-02-13,1
2023-02-15,1
2023-01-02,1
2023-01-22,1
2023-02-17,1
2023-02-18,1
2023-01-15,1
2023-01-16,1
2023-01-19,1
2023-01-22,1
2023-01-25,1
2023-01-28,1
2023-01-30,1
2023-02-01,1
2023-02-19,1
2023-02-14,1
2023-01-18,2
2023-01-19,1
2023-01-23,1
2023-01-24,1
2023-01-25,1
2023-01-30,1
2023-02-01,1
2023-02-13,1
2023-02-15,1
2023-01-23,1
2023-02-14,1
2023-02-15,1
2023-02-17,1
2023-01-18,1
2023-01-20,1
2023-01-23,1
2023-01-30,1
2023-02-02,1
2023-02-14,2
2023-02-16,1
2023-01-20,1
2023-01-23,1
2023-02-02,1
2023-01-01,2
2023-01-15,3
2023-01-20,1
2023-01-31,2
2023-02-13,2
2023-02-17,1
2023-01-17,1
2023-02-16,1
2023-01-15,1
2023-02-15,1
2023-01-25,1
2023-01-13,1
2023-01-30,1
2023-02-15,1
2023-01-31,1
2023-02-15,1
2023-02-01,1
2023-01-17,1
2023-01-02,1
2023-01-13,1
2023-01-16,3
2023-01-18,1
2023-01-19,1
2023-01-21,1
2023-01-22,1
2023-01-24,2
2023-02-13,2
2023-02-14,2
2023-02-16,1
2023-01-23,1
2023-02-14,1
2023-01-16,1
2023-01-21,2
2023-01-24,1
2023-01-27,1
2023-01-28,2
2023-02-02,2
2023-02-19,1
2023-01-21,1
2023-01-26,3
2023-01-27,1
2023-01-13,1
2023-01-29,1
2023-01-24,1
2023-01-25,1
2023-01-31,1
2023-01-13,1
2023-01-19,1
2023-01-21,1
2023-02-17,1
2023-01-16,2
2023-01-27,1
2023-02-01,1
2023-01-20,1
2023-02-13,1
2023-01-16,1
2023-01-17,1
2023-01-18,1
2023-02-16,1
2023-01-23,1
2023-01-19,1
2023-01-25,1
2023-01-26,1
2023-02-19,1
2023-02-02,1
2023-02-13,2
2023-01-14,1
2023-01-15,1
2023-01-16,2
2023-01-17,1
2023-01-20,2
2023-01-22,1
2023-01-31,1
2023-01-13,1
2023-01-22,2
2023-02-14,1
2023-01-17,1
2023-01-19,1
2023-01-29,1
2023-02-13,1
2023-02-14,1
2023-01-23,1
2023-02-19,1
2023-01-02,1
2023-01-24,2
2023-01-26,1
2023-01-15,1
2023-01-16,1
2023-01-17,1
2023-01-26,1
2023-01-25,1
2023-01-20,1
2023-01-24,1
2023-02-18,1
2023-02-17,1
2023-01-16,1
2023-01-28,1
2023-01-28,1
2023-01-25,1
2023-01-17,1
2023-01-02,1
2023-01-23,1
2023-01-30,1
2023-01-25,1
2023-01-02,1
2023-01-25,1
2023-02-01,1
2023-02-15,1
2023-01-01,1
2023-02-14,1
2023-01-15,1
2023-01-16,1
2023-01-18,3
2023-01-22,1
2023-01-26,1
2023-01-16,1
2023-02-15,1
2023-01-20,1
2023-01-15,1
2023-01-22,1
2023-01-24,1
2023-01-29,1
2023-02-17,1
2023-01-28,1
2023-02-01,1
2023-01-25,1
2023-01-18,2
2023-01-24,1
2023-02-02,1
2023-02-17,1
2023-01-16,1
2023-01-24,1
2023-01-22,2
2023-01-22,1
2023-01-18,1
2023-01-23,1
2023-01-19,1
2023-01-15,2
2023-01-23,1
2023-01-24,2
2023-01-16,1
2023-02-16,1
2023-02-17,1
2023-01-18,1
2023-01-25,1
2023-02-18,1
2023-01-15,1
2023-01-23,1
2023-01-31,1
2023-02-02,1
2023-01-17,1
2023-01-22,1
2023-01-27,1
2023-01-28,1
2023-01-27,1
2023-01-28,1
2023-01-29,1
2023-01-30,1
2023-01-31,2
2023-02-13,1
2023-01-02,1
2023-01-15,1
2023-01-22,1
2023-01-28,1
2023-01-19,1
2023-01-20,1
2023-01-16,1
2023-02-14,1
2023-02-01,1
2023-02-15,1
2023-01-25,1
2023-01-30,1
2023-02-01,1
2023-01-14,1
2023-01-26,1
2023-01-27,1
2023-01-28,1
2023-02-02,1
2023-02-13,1
2023-02-19,1
2023-01-16,1
2023-01-17,1
2023-01-20,2
2023-01-22,1
2023-01-24,1
2023-01-25,1
2023-02-01,1
2023-02-19,1
2023-01-25,1
2023-02-13,1
2023-02-15,1
2023-02-02,1
2023-02-02,1
2023-01-13,1
2023-01-31,1
2023-02-14,1
2023-01-18,1
2023-01-19,1
2023-01-25,1
2023-02-17,1
2023-01-02,1
2023-02-15,1
2023-02-16,1
2023-02-17,2
2023-01-27,1
2023-01-16,1
2023-01-19,1
2023-01-21,1
2023-01-28,1
2023-02-15,1
2023-02-18,1
2023-02-19,1
2023-01-02,2
2023-01-14,1
2023-01-15,1
2023-01-16,1
2023-01-21,1
2023-01-14,1
2023-01-22,1
2023-02-16,3
2023-01-13,1
2023-01-29,1
2023-01-18,1
2023-02-01,1
2023-01-18,1
2023-01-21,1
2023-01-26,1
2023-01-16,1
2023-01-23,1
2023-02-01,1
2023-01-18,1
